sigla;codcls_mat;codmat;consumo_medio;desvio_padrao
EAC;12;522536;1361.0625;948.5728217157742
EAC;12;522539;-44.57142857142857;433.5431433466076
EAC;12;592117;85.0;248.91794402401538
EAC;12;592120;227.29166666666666;744.226267554996
EAC;15;185;11.9;20.343986280416573
EAC;15;3200;-5.25;10.781929326423912
EAC;15;3604;59.0;
EAC;15;3766;0.0;0.0
EAC;15;3792;-0.5;53.07292430343034
EAC;15;4829;-3.5;4.949747468305833
EAC;15;9511;14.333333333333334;32.61901286060018
EAC;15;9512;-7.5;23.717082451262844
EAC;15;9513;-366.0;520.430590953299
EAC;15;9515;-0.2222222222222222;0.6666666666666667
EAC;15;9519;-8.5;17.0
EAC;15;9524;2.0;1.6733200530681511
EAC;15;9535;0.0;0.0
EAC;15;9549;0.0;0.0
EAC;15;9552;13.363636363636363;49.35637697453033
EAC;15;9553;-1.0;9.981801622771494
EAC;15;9560;0.0;
EAC;15;9569;0.0;
EAC;15;22506;4.5;6.363961030678928
EAC;15;22507;1.5909090909090908;27.195341146721805
EAC;15;22528;1.7272727272727273;2.901410315377992
EAC;15;22546;0.0;
EAC;15;32901;0.6;23.613555429032704
EAC;15;32965;0.0;0.0
EAC;15;90113;0.0;
EAC;15;90114;0.0;
EAC;15;90333;0.0;
EAC;15;90334;0.0;
EAC;15;90335;0.0;
EAC;15;90336;0.0;
EAC;15;90337;-1.1;32.30221870604763
EAC;15;90338;0.0;
EAC;15;90339;0.0;
EAC;15;90340;566.0416666666666;330.8937146008048
EAC;15;90341;373.5416666666667;299.3314259081927
EAC;15;90342;209.54166666666666;188.94972397017625
EAC;15;90343;28.875;64.24160408685461
EAC;15;90344;35.08695652173913;88.13569756784564
EAC;15;90345;193.70833333333334;287.3205268422838
EAC;15;90346;122.375;238.46553164474045
EAC;15;90347;32.416666666666664;45.68694672933699
EAC;15;90348;17.916666666666668;58.36162874821888
EAC;15;90349;25.608695652173914;36.725937243359255
EAC;15;90352;37.625;119.40716332018744
EAC;15;90353;8916.75;3066.19451508671
EAC;15;90354;104.5;114.34235397718328
EAC;15;90355;214.58333333333334;318.40648298330404
EAC;15;90356;55.791666666666664;151.2955584757621
EAC;15;90357;216.20833333333334;132.93933862338562
EAC;15;90428;2.5;59.07980261411743
EAC;15;90429;-16.11764705882353;124.41406791081805
EAC;15;90431;9.5;21.230219551908128
EAC;15;90432;15.285714285714286;37.12645453546065
EAC;15;90433;4.7;8.781925883439364
EAC;15;90435;7.0;14.395215254459456
EAC;15;90436;16.25;28.790912918257153
EAC;15;90437;0.0;4.242640687119285
EAC;15;90438;15.0;24.470390270692455
EAC;15;90459;2.789473684210526;5.940248286696638
EAC;15;90460;395.75;269.40937816542
EAC;15;90461;325.5;468.2942218956685
EAC;15;90465;2.0;5.066228051190222
EAC;15;90466;8.05;28.69893634559339
